Column,N_holdout,CrossCat_R2,CrossCat_MAE,MICE_R2,MICE_MAE,RF_R2,RF_MAE
Ionic Dielectric,732,0.8069635629653931,4.909428596496582,0.4415978789329529,9.612153053283691,0.9185686444829237,0.5990308309894856
Electronic Dielectric,731,0.05164337158203125,2.514373302459717,0.14269930124282837,4.001119613647461,0.6385908731786478,0.663893250921403
Band Gap,732,0.26909857988357544,1.1143755912780762,0.5825968980789185,0.8292407989501953,0.8514829075568036,0.46521427339567073
Formation Energy,732,0.4417605996131897,0.5954182744026184,0.5951930284500122,0.48041337728500366,0.8492024860839237,0.27521672304217254
E Above Hull,732,0.5205593109130859,0.02229618839919567,0.19601911306381226,0.03244098275899887,0.7290544895548517,0.016827278245344822
Bulk Modulus,204,0.1390666961669922,43.626094818115234,0.7801080346107483,20.158832550048828,0.9706345488418135,3.6987311061888057
